time,value
2026-09-12T00:56:42.087Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:43.093Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:44.097Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:44.099Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:45.099Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:45.1Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:46.103Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:47.108Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:47.109Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:48.109Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:48.11Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:49.123Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:49.124Z,"{""lat"":-37.63470878509701,""lon"":145.06512692904624}"
2026-09-12T00:56:50.118Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:56:50.119Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:56:51.127Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:56:51.128Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:56:52.127Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:56:52.128Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:56:53.136Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:56:53.137Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:56:54.143Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:56:54.144Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:56:55.156Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:56:55.157Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:56:56.169Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:56:57.169Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:56:57.17Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:56:58.18Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:56:58.181Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:56:59.187Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:56:59.188Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:57:00.194Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:57:00.196Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:57:01.201Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:57:02.205Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:57:02.206Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:57:03.213Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:57:03.214Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
2026-09-12T00:57:04.221Z,"{""lat"":-37.63470078895557,""lon"":145.06512596930926}"
