timestamp,lux,occupied
2026-09-23T16:34:16,562.5,1
2026-09-23T16:36:16,562.5,1
2026-09-23T16:38:16,561.67,1
2026-09-23T16:40:16,556.67,1
2026-09-23T16:42:16,547.5,1
2026-09-23T16:44:16,535.83,1
2026-09-23T16:46:16,525.83,1
2026-09-23T16:48:16,509.17,1
2026-09-23T16:50:16,491.67,1
2026-09-23T16:52:16,473.33,1
2026-09-23T16:54:16,468.33,1
2026-09-23T16:56:16,460.83,1
2026-09-23T16:58:16,453.33,1
2026-09-23T17:00:16,447.5,1
2026-09-23T17:02:16,441.67,1
2026-09-23T17:04:16,437.5,1
2026-09-23T17:06:16,430.83,1
2026-09-23T17:08:16,420.83,1
2026-09-23T17:10:16,417.5,1
2026-09-23T17:12:16,415.83,1
2026-09-23T17:14:16,415.0,1
2026-09-23T17:16:16,410.0,1
2026-09-23T17:18:16,400.0,1
2026-09-23T17:20:16,387.5,1
2026-09-23T17:22:16,375.83,1
2026-09-23T17:24:16,365.83,1
2026-09-23T17:26:16,360.83,1
2026-09-23T17:28:16,355.0,1
2026-09-23T17:30:16,349.17,1
2026-09-23T17:32:16,344.17,1
2026-09-23T17:34:16,345.83,1
2026-09-23T17:36:16,344.17,1
2026-09-23T17:38:16,333.33,1
2026-09-23T17:40:16,318.33,1
2026-09-23T17:42:16,300.83,1
2026-09-23T17:44:17,289.17,1
2026-09-23T17:46:17,278.33,1
2026-09-23T17:48:17,265.0,1
2026-09-23T17:50:17,250.83,1
2026-09-23T17:52:17,235.0,1
2026-09-23T17:54:17,216.67,1
2026-09-23T17:56:17,197.5,1
2026-09-23T17:58:17,182.5,1
2026-09-23T18:00:17,166.67,1
2026-09-23T18:02:17,146.67,1
2026-09-23T18:04:17,125.83,1
2026-09-23T18:06:17,107.5,1
2026-09-23T18:08:17,91.67,1
2026-09-23T18:10:17,76.67,1
2026-09-23T18:12:17,61.67,1
2026-09-23T18:14:17,48.33,1
2026-09-23T18:16:17,37.5,1
2026-09-23T18:18:17,29.17,1
2026-09-23T18:20:17,22.5,1
2026-09-23T18:22:17,16.67,1
2026-09-23T18:24:17,10.83,1
2026-09-23T18:26:17,7.5,1
2026-09-23T18:28:17,5.0,1
2026-09-23T18:30:17,3.33,1
2026-09-23T18:32:17,2.5,1
2026-09-23T18:34:17,1.67,1
2026-09-24T09:17:59,11331.67,1
2026-09-24T09:19:59,12900.0,1
2026-09-24T09:21:59,19322.5,1
2026-09-24T09:23:59,15062.5,1
2026-09-24T09:25:59,9160.83,1
2026-09-24T09:27:59,8990.0,1
2026-09-24T09:29:59,8277.5,1
2026-09-24T09:31:59,6434.17,1
2026-09-24T09:33:59,8372.5,1
2026-09-24T09:35:59,19808.33,1
2026-09-24T09:37:59,16388.33,1
2026-09-24T09:39:59,11880.0,1
